#,Name,MLBAMID,Last,First,Lastv2,Firstv2,YahooName
1827,Ethan Salas,806956,Salas,Ethan,Salas,Ethan,
1828,Sebastian Walcott,806964,Walcott,Sebastian,Walcott,Sebastian,
1829,Luke Keaschall,807712,Keaschall,Luke,Keaschall,Luke,Luke Keaschall
1830,Matt Shaw,807713,Shaw,Matt,Shaw,Matt,Matt Shaw
1831,Masataka Yoshida,807799,Yoshida,Masataka,Yoshida,Masataka,Masataka Yoshida
1832,Roki Sasaki,808963,Sasaki,Roki,Sasaki,Roki,Roki Sasaki
1833,Yoshinobu Yamamoto,808967,Yamamoto,Yoshinobu,Yamamoto,Yoshinobu,Yoshinobu Yamamoto
1834,Woo-Suk Go,808970,Go,Woo-Suk,Go,Woo-Suk,
1835,Hyeseong Kim,808975,Kim,Hyeseong,Kim,Hyeseong,Hyeseong Kim
1836,Jung Hoo Lee,808982,Lee,Jung Hoo,Lee,Jung Hoo,Jung Hoo Lee
1837,Charlie Condon,809707,Condon,Charlie,Condon,Charlie,
1838,Ben Williamson,810938,Williamson,Ben,Williamson,Ben,Ben Williamson
1839,Jake Bloss,814005,Bloss,Jake,Bloss,Jake,Jake Bloss
1840,Leodalis De Vries,815888,De Vries,Leodalis,De Vries,Leodalis,
1841,Jesus Made,815908,Made,Jesus,Made,Jesus,
1842,Payton Eeles,823356,Eeles,Payton,,,
1843,Shinnosuke Ogasawara,829272,Ogasawara,Shinnosuke,Ogasawara,Shinnosuke,Shinnosuke Ogasawara
1844,Koyo Aoyagi,829460,Aoyagi,Koyo,Aoyagi,Koyo,
1845,Shohei Ohtani,660271,Ohtani,Shohei,Ohtani,Shohei,Shohei Ohtani
