,batter,player_name,game_date,stand,p_throws,pitch_type,effective_speed,pfx_x,pfx_z,plate_x,plate_z,zone,description,launch_speed,launch_angle,hc_x,hc_y,if_fielding_alignment,events
50254,668804,"Imanaga, Shota",2024-05-18,R,L,FS,83.8,1.08,0.59,0.28,1.24,14.0,hit_into_play,68.5,-10.0,103.86,167.8,Standard,force_out
50257,621439,"Avila, Pedro",2024-05-18,R,R,FF,97.6,-0.53,1.11,0.39,1.99,9.0,hit_into_play,107.2,11.0,180.46,102.77,Standard,single
50265,621439,"Sandlin, Nick",2024-05-18,R,R,FF,92.6,-1.24,1.04,0.96,2.41,14.0,hit_into_play,81.1,53.0,155.43,124.86,Standard,field_out
50266,621043,"Allen, Logan",2024-05-18,R,L,FC,85.6,-0.33,0.49,0.57,2.6,6.0,hit_into_play,109.3,14.0,93.37,82.55,Standard,single
50272,621043,"Allen, Logan",2024-05-18,R,L,FF,92.9,0.6,1.22,-0.53,3.34,1.0,hit_into_play,81.6,12.0,138.0,144.53,Standard,field_out
50276,621439,"Allen, Logan",2024-05-18,R,L,FF,91.3,0.75,1.22,-0.02,2.15,5.0,hit_into_play,94.7,-30.0,142.06,150.13,Infield shade,field_out
50288,608324,"Hudson, Bryan",2024-05-18,R,L,FC,88.0,0.01,0.01,-0.14,2.69,5.0,hit_into_play,84.8,27.0,176.43,97.07,Standard,field_out
50299,592885,"Mushinski, Parker",2024-05-18,L,L,SI,92.2,0.76,1.18,1.03,2.7,12.0,hit_into_play,67.6,-12.0,145.95,173.59,Infield shade,field_out
50305,673237,"Peguero, Elvis",2024-05-18,R,R,SI,97.6,-1.37,0.55,-0.59,1.98,7.0,hit_into_play,102.8,9.0,98.52,137.54,Standard,field_out
50307,661388,"Martinez, Seth",2024-05-18,R,R,CH,85.7,-0.75,0.07,-0.16,2.89,5.0,hit_into_play,92.0,-21.0,105.53,164.87,Standard,field_out
50310,668930,"Martinez, Seth",2024-05-18,L,R,FF,91.6,-1.11,0.78,-0.32,2.54,4.0,hit_into_play,92.0,31.0,76.6,94.19,Standard,double
50316,608324,"Milner, Hoby",2024-05-18,R,L,CH,81.1,1.21,0.53,-0.58,2.77,1.0,hit_into_play,60.2,68.0,156.8,174.42,Standard,field_out
50319,663656,"Milner, Hoby",2024-05-18,L,L,SI,88.0,1.57,0.01,0.33,1.75,9.0,hit_into_play,94.8,-7.0,156.27,151.14,Infield shade,field_out
50321,673237,"Wilson, Bryse",2024-05-18,R,R,CU,80.5,1.22,-0.09,0.74,1.09,14.0,hit_into_play,76.1,5.0,109.08,153.69,Standard,field_out
50327,661388,"Verlander, Justin",2024-05-18,R,R,FF,94.4,-0.5,1.5,0.16,3.22,2.0,hit_into_play,109.3,22.0,93.05,28.82,Standard,home_run
50340,668930,"Verlander, Justin",2024-05-18,L,R,CU,78.3,0.5,-1.22,-0.28,2.72,1.0,hit_into_play,79.8,-39.0,147.14,165.38,Standard,field_out
50344,608324,"Wilson, Bryse",2024-05-18,R,R,CU,81.4,1.4,-0.26,1.05,2.0,14.0,hit_into_play,77.5,46.0,147.37,109.5,Standard,field_out
50347,592885,"Verlander, Justin",2024-05-18,L,R,FF,90.6,-0.86,1.58,0.03,3.34,2.0,hit_into_play,101.7,-4.0,153.01,155.86,Strategic,field_out
50356,673237,"Wilson, Bryse",2024-05-18,R,R,FC,88.1,0.42,0.68,0.32,2.39,6.0,hit_into_play,103.7,21.0,167.47,63.17,Standard,field_out
50359,661388,"Verlander, Justin",2024-05-18,R,R,FF,95.5,-0.7,1.61,0.04,3.56,2.0,hit_into_play,90.8,51.0,138.53,96.54,Standard,field_out
50365,668930,"Verlander, Justin",2024-05-18,L,R,CU,79.0,0.69,-1.2,-0.46,2.29,4.0,hit_into_play,81.9,-29.0,148.66,155.21,Standard,field_out
50369,608324,"Wilson, Bryse",2024-05-18,R,R,CU,80.2,1.3,-0.12,0.69,1.79,9.0,hit_into_play,72.5,1.0,102.48,170.47,Infield shade,field_out
50377,592885,"Verlander, Justin",2024-05-18,L,R,FF,91.6,-0.57,1.68,-0.07,3.39,2.0,hit_into_play,90.2,41.0,213.72,100.37,Standard,field_out
50397,521692,"Kelly, Michael",2024-05-18,R,R,ST,82.7,1.26,-0.59,0.32,1.81,9.0,hit_into_play,94.7,39.0,95.77,67.82,Standard,field_out
50401,686469,"Erceg, Lucas",2024-05-18,L,R,CH,90.3,-1.39,0.42,-0.55,1.29,13.0,hit_into_play,84.4,0.0,159.32,152.82,Infield shade,field_out
50405,677951,"Erceg, Lucas",2024-05-18,R,R,FF,98.9,-0.98,1.18,-0.55,3.08,1.0,hit_into_play,98.8,27.0,183.7,66.89,Standard,field_out
50416,667670,"Schreiber, John",2024-05-18,R,R,SI,90.6,-1.27,-0.36,0.07,1.73,8.0,hit_into_play,95.9,-3.0,86.24,107.05,Standard,single
50422,667670,"Lugo, Seth",2024-05-18,R,R,SV,79.2,1.29,-0.95,0.33,2.35,6.0,hit_into_play,109.2,10.0,86.95,109.68,Standard,single
50431,686469,"Stripling, Ross",2024-05-18,L,R,SL,86.2,0.08,0.19,-0.25,1.7,8.0,hit_into_play,104.0,10.0,173.24,109.69,Standard,single
50435,677951,"Stripling, Ross",2024-05-18,R,R,CH,83.6,-0.52,0.84,0.75,1.55,9.0,hit_into_play,103.8,0.0,136.99,142.65,Standard,field_out
50440,672580,"Stripling, Ross",2024-05-18,R,R,SL,85.1,0.29,0.05,0.01,1.57,8.0,hit_into_play,103.0,16.0,63.02,69.15,Standard,double
50444,521692,"Stripling, Ross",2024-05-18,R,R,SL,84.4,0.14,-0.11,0.36,3.13,3.0,hit_into_play,102.0,21.0,146.05,63.91,Standard,field_out
50446,686469,"Stripling, Ross",2024-05-18,L,R,FF,91.6,-0.39,1.29,0.33,3.53,3.0,hit_into_play,92.5,9.0,144.0,142.81,Infield shade,field_out
50449,677951,"Stripling, Ross",2024-05-18,R,R,SL,84.8,0.13,0.3,0.54,0.93,14.0,hit_into_play,50.7,-55.0,130.81,198.53,Standard,field_out
50459,672580,"Stripling, Ross",2024-05-18,R,R,CH,84.3,-0.77,0.87,0.44,2.45,6.0,hit_into_play,83.4,12.0,128.04,131.99,Standard,field_out
50462,691016,"Lugo, Seth",2024-05-18,L,R,FS,83.7,-0.8,0.47,-0.58,2.51,4.0,hit_into_play,97.5,-2.0,152.22,153.83,Standard,field_out
50465,521692,"Stripling, Ross",2024-05-18,R,R,CH,82.5,-0.69,0.71,0.15,1.86,8.0,hit_into_play,106.8,13.0,55.22,100.93,Standard,single
50467,686469,"Stripling, Ross",2024-05-18,L,R,SL,84.7,0.14,0.17,-0.59,1.58,7.0,hit_into_play,82.0,-44.0,146.13,174.17,Standard,field_out
50471,677951,"Stripling, Ross",2024-05-18,R,R,SL,83.9,0.26,0.26,0.66,2.23,9.0,hit_into_play,69.7,32.0,158.81,106.04,Standard,single
50473,672580,"Stripling, Ross",2024-05-18,R,R,FF,92.3,-0.2,1.36,0.88,2.68,12.0,hit_into_play,101.3,8.0,199.92,114.17,Standard,single
50484,682829,"Feyereisen, J.P.",2024-05-18,L,R,FF,91.6,-0.42,1.55,-0.63,4.25,11.0,hit_into_play,95.8,-2.0,140.42,143.8,Infield shade,field_out
50495,518692,"Spiers, Carson",2024-05-18,L,R,ST,79.7,1.32,0.1,0.48,2.59,6.0,hit_into_play,89.6,31.0,191.2,112.82,Infield shade,double
50496,660271,"Spiers, Carson",2024-05-18,L,R,CH,87.1,-1.25,0.59,-0.24,2.1,8.0,hit_into_play,100.7,2.0,156.29,165.19,Infield shade,field_out
50509,669257,"Ashcraft, Graham",2024-05-18,R,R,FC,92.8,0.05,0.87,0.31,1.95,9.0,hit_into_play,101.1,17.0,189.61,100.13,Standard,field_out
50514,518692,"Ashcraft, Graham",2024-05-18,L,R,SL,87.2,0.74,0.15,0.26,2.98,5.0,hit_into_play,89.7,14.0,113.78,81.89,Standard,single
50517,660271,"Ashcraft, Graham",2024-05-18,L,R,SL,87.0,0.9,0.28,0.54,2.1,9.0,hit_into_play,98.9,57.0,74.83,118.8,Infield shade,field_out
50522,663886,"Buehler, Walker",2024-05-18,R,R,ST,82.7,1.19,0.37,0.02,2.05,8.0,hit_into_play,69.4,-38.0,98.29,164.88,Strategic,field_out
50525,669257,"Ashcraft, Graham",2024-05-18,R,R,SI,91.6,-0.76,0.69,-0.77,1.66,7.0,hit_into_play,87.6,67.0,99.96,150.11,Standard,field_out
50538,660271,"Ashcraft, Graham",2024-05-18,L,R,FC,95.4,-0.29,0.87,0.48,3.18,3.0,hit_into_play,78.8,-39.0,151.02,157.79,Infield shade,field_out
50542,663886,"Buehler, Walker",2024-05-18,R,R,SI,95.0,-1.33,0.91,-0.34,2.8,1.0,hit_into_play,73.4,-19.0,125.67,176.03,Strategic,field_out
50551,518692,"Ashcraft, Graham",2024-05-18,L,R,SI,95.6,-0.47,1.17,-0.81,2.97,4.0,hit_into_play,96.4,40.0,40.12,95.76,Infield shade,field_out
50558,660271,"Ashcraft, Graham",2024-05-18,L,R,FC,96.6,0.01,0.91,0.3,3.41,3.0,hit_into_play,72.7,-10.0,108.69,154.87,Infield shade,field_out
50565,682829,"Buehler, Walker",2024-05-18,L,R,FC,93.5,0.02,1.12,0.33,3.55,3.0,hit_into_play,86.0,26.0,122.12,73.24,Infield shade,field_out
50567,624413,"Scott, Tanner",2024-05-18,R,L,SL,89.5,-0.68,0.17,-0.53,2.32,4.0,hit_into_play,65.9,-1.0,108.31,153.46,Standard,field_out
50576,607043,"Faucher, Calvin",2024-05-18,L,R,CU,84.7,0.95,-0.96,0.3,1.91,9.0,hit_into_play,109.3,19.0,176.91,61.42,Standard,double
50585,624413,"Maldonado, Anthony",2024-05-18,R,R,SL,84.4,0.11,0.47,0.71,2.29,6.0,hit_into_play,70.9,57.0,100.44,141.47,Standard,field_out
50588,660821,"Garrett, Reed",2024-05-18,L,R,FF,96.3,-0.67,1.43,-0.65,2.26,7.0,hit_into_play,92.1,41.0,36.61,103.39,Standard,field_out
50589,668901,"Maldonado, Anthony",2024-05-18,R,R,SL,85.4,-0.22,0.55,0.41,1.72,9.0,hit_into_play,52.8,-70.0,120.16,190.92,Standard,field_out
50591,660821,"Severino, Luis",2024-05-18,L,R,ST,86.8,1.41,-0.13,0.16,1.88,8.0,hit_into_play,85.1,28.0,75.01,97.95,Infield shade,field_out
50596,607043,"Cronin, Declan",2024-05-18,L,R,SI,93.7,-1.28,0.41,0.7,2.04,9.0,hit_into_play,93.5,-13.0,149.46,152.85,Standard,grounded_into_double_play
50601,624413,"Cronin, Declan",2024-05-18,R,R,SI,92.8,-1.16,-0.17,-0.14,2.25,5.0,hit_into_play,112.0,1.0,177.9,102.02,Standard,single
50620,668901,"Garrett, Braxton",2024-05-18,R,L,FC,86.8,-0.49,0.15,-0.46,2.25,7.0,hit_into_play,97.8,4.0,49.26,140.24,Standard,double
50622,607043,"Garrett, Braxton",2024-05-18,L,L,SI,89.3,1.44,0.7,-0.17,2.03,8.0,hit_into_play,76.7,-31.0,149.88,166.58,Standard,field_out
50632,624413,"Garrett, Braxton",2024-05-18,R,L,FC,86.4,-0.32,-0.11,-0.73,2.23,4.0,hit_into_play,94.0,35.0,44.79,81.75,Standard,field_out
50635,668901,"Garrett, Braxton",2024-05-18,R,L,CH,83.1,0.93,-0.35,0.75,2.28,9.0,hit_into_play,107.7,3.0,116.78,84.48,Standard,single
50638,607043,"Garrett, Braxton",2024-05-18,L,L,SI,91.2,1.4,0.6,0.71,2.1,9.0,hit_into_play,101.4,-9.0,153.69,156.49,Standard,force_out
50640,624413,"Garrett, Braxton",2024-05-18,R,L,FF,90.9,0.48,1.3,-0.44,3.04,1.0,hit_into_play,108.0,-1.0,75.63,102.63,Standard,single
50647,665742,"Soroka, Michael",2024-05-18,L,R,FF,94.5,-0.78,1.18,-0.09,2.78,2.0,hit_into_play,110.1,5.0,168.52,117.33,Infield shade,single
50653,683734,"Burdi, Nick",2024-05-18,R,R,SL,87.7,1.33,-0.05,0.65,2.0,9.0,hit_into_play,84.5,41.0,139.8,97.28,Standard,field_out
50656,657757,"Burdi, Nick",2024-05-18,L,R,SI,92.1,-1.43,0.17,-0.37,2.14,7.0,hit_into_play,76.7,21.0,194.92,108.56,Infield shade,single
50661,502054,"Burdi, Nick",2024-05-18,R,R,FF,97.3,-0.41,1.27,0.31,2.89,6.0,hit_into_play,96.0,38.0,141.56,67.82,Standard,field_out
50697,665742,"Keller, Brad",2024-05-18,L,R,FF,89.7,0.23,0.92,0.42,2.07,6.0,hit_into_play,110.2,31.0,211.1,42.98,Infield shade,home_run
50710,650402,"Keller, Brad",2024-05-18,R,R,FF,91.7,0.31,1.06,0.23,2.23,5.0,hit_into_play,68.8,-24.0,104.56,170.73,Standard,field_out
50722,665742,"Keller, Brad",2024-05-18,L,R,SL,86.5,0.44,-0.02,-0.13,2.05,5.0,hit_into_play,107.3,6.0,168.52,111.73,Standard,single
50729,650402,"Keller, Brad",2024-05-18,R,R,CH,87.5,-0.87,0.34,0.3,1.88,9.0,hit_into_play,91.5,-35.0,102.53,172.26,Standard,field_out
50732,657757,"Gil, Luis",2024-05-18,L,R,CH,94.0,-1.28,0.19,-0.79,1.82,7.0,hit_into_play,55.5,-77.0,125.05,195.49,Standard,field_out
50736,502054,"Gil, Luis",2024-05-18,R,R,FF,98.7,-0.43,1.4,-0.3,2.46,4.0,hit_into_play,99.1,28.0,185.19,62.11,Standard,double
50741,592450,"Keller, Brad",2024-05-18,R,R,SL,84.0,0.69,-0.25,0.39,2.03,9.0,hit_into_play,60.7,-49.0,109.09,165.62,Standard,single
50742,665742,"Keller, Brad",2024-05-18,L,R,SI,90.9,-0.92,0.56,-0.21,2.34,5.0,hit_into_play,112.5,24.0,197.02,45.6,Infield shade,home_run
50751,657757,"Gil, Luis",2024-05-18,L,R,CH,91.3,-1.55,0.31,-0.66,1.77,7.0,hit_into_play,69.0,36.0,132.11,100.88,Infield shade,single
50752,502054,"Gil, Luis",2024-05-18,R,R,FF,97.2,-0.23,1.5,0.53,2.93,6.0,hit_into_play,93.7,11.0,166.36,97.09,Standard,single
50759,547180,"Finnegan, Kyle",2024-05-18,L,R,FS,91.9,-0.84,0.6,-0.1,1.13,13.0,hit_into_play,99.0,18.0,95.96,69.5,Strategic,sac_fly
50763,669016,"Finnegan, Kyle",2024-05-18,L,R,FS,91.2,-0.91,0.72,-0.42,2.07,4.0,hit_into_play,100.6,20.0,199.98,100.8,Standard,field_error
50769,656941,"Garcia, Robert",2024-05-18,L,L,SL,86.4,-0.47,0.08,-0.18,2.09,8.0,hit_into_play,107.4,9.0,121.09,142.03,Standard,field_out
50772,669016,"Floro, Dylan",2024-05-18,L,R,SI,88.6,-1.49,0.55,-0.13,2.38,5.0,hit_into_play,101.0,11.0,149.59,151.19,Infield shade,field_out
50777,547180,"Gore, MacKenzie",2024-05-18,L,L,FF,97.3,0.5,1.54,-0.08,3.08,2.0,hit_into_play,98.4,52.0,68.47,117.4,Infield shade,field_out
50787,547180,"Gore, MacKenzie",2024-05-18,L,L,FC,92.9,-0.1,0.87,-0.53,2.03,7.0,hit_into_play,85.4,20.0,116.83,87.21,Infield shade,single
50798,547180,"Gore, MacKenzie",2024-05-18,L,L,FF,97.0,0.85,1.6,1.08,3.33,12.0,hit_into_play,34.2,-68.0,122.39,191.07,Infield shade,field_out
50805,641857,"Rogers, Taylor",2024-05-18,L,L,SI,92.0,1.14,0.47,0.09,2.03,8.0,hit_into_play,111.1,3.0,144.16,153.95,Standard,grounded_into_double_play
50811,671218,"Mears, Nick",2024-05-18,R,R,CU,80.9,0.44,-1.36,0.53,2.78,3.0,hit_into_play,107.2,23.0,104.15,46.61,Standard,double
50819,696100,"Rogers, Tyler",2024-05-18,R,R,SL,72.1,0.97,1.72,0.41,2.06,9.0,hit_into_play,64.2,-9.0,137.26,159.35,Standard,force_out
50820,671218,"Lawrence, Justin",2024-05-18,R,R,ST,84.7,1.71,0.21,0.46,2.01,9.0,hit_into_play,82.1,19.0,86.49,114.75,Strategic,single
50823,656305,"Lawrence, Justin",2024-05-18,R,R,SI,95.2,-1.29,-0.34,0.36,1.24,14.0,hit_into_play,89.7,13.0,199.0,125.69,Standard,double
50827,641857,"Miller, Erik",2024-05-18,L,L,FF,96.9,0.73,1.3,0.46,2.68,6.0,hit_into_play,103.6,7.0,150.76,105.63,Standard,single
50830,696100,"Walker, Ryan",2024-05-18,R,R,SI,93.4,-0.83,0.32,-0.45,2.36,4.0,hit_into_play,101.9,13.0,139.36,74.5,Standard,single
50831,671218,"Lambert, Peter",2024-05-18,R,R,SL,88.0,0.54,-0.04,0.37,1.84,9.0,hit_into_play,97.7,27.0,159.63,54.83,Standard,field_out
50833,656305,"Lambert, Peter",2024-05-18,R,R,FF,94.8,-0.86,1.38,-0.87,2.01,13.0,hit_into_play,80.5,19.0,111.86,109.51,Standard,single
50836,641857,"Harrison, Kyle",2024-05-18,L,L,FF,92.5,1.3,0.85,1.29,2.58,12.0,hit_into_play,67.8,13.0,139.54,152.44,Standard,force_out
50839,696100,"Harrison, Kyle",2024-05-18,R,L,FF,91.1,1.16,0.88,-0.28,2.11,5.0,hit_into_play,100.5,34.0,123.71,54.65,Infield shade,field_out
50846,656305,"Blach, Ty",2024-05-18,R,L,CH,78.7,1.34,-0.19,1.25,1.45,14.0,hit_into_play,97.8,12.0,160.44,77.22,Strategic,single
50857,696100,"Harrison, Kyle",2024-05-18,R,L,CH,83.6,1.6,0.1,0.44,2.55,6.0,hit_into_play,102.8,17.0,34.59,98.49,Standard,double
50861,671218,"Blach, Ty",2024-05-18,R,L,CH,78.9,1.55,0.03,-0.12,2.11,5.0,hit_into_play,109.3,15.0,115.73,89.35,Strategic,field_out
50873,656305,"Blach, Ty",2024-05-18,R,L,CH,77.8,1.39,-0.03,0.51,2.08,9.0,hit_into_play,90.9,13.0,61.92,116.31,Standard,double
50875,641857,"Harrison, Kyle",2024-05-18,L,L,SV,81.5,-0.93,-0.64,-0.4,1.68,7.0,hit_into_play,49.5,-66.0,125.0,200.0,Standard,field_out
50879,646240,"Leahy, Kyle",2024-05-18,L,R,SL,90.5,0.39,0.07,0.65,2.19,6.0,hit_into_play,90.4,43.0,100.7,83.42,Infield shade,field_out
50883,663457,"Kelly, Zack",2024-05-18,L,R,FC,91.6,0.08,0.48,0.05,2.29,5.0,hit_into_play,108.4,-2.0,181.21,97.49,Standard,single
50891,671056,"Slaten, Justin",2024-05-18,R,R,ST,85.2,0.74,-0.11,0.2,2.04,8.0,hit_into_play,105.5,2.0,74.1,107.66,Strategic,single
50892,676475,"Slaten, Justin",2024-05-18,L,R,FF,98.8,-0.65,1.3,0.06,2.03,8.0,hit_into_play,98.3,-7.0,179.69,104.1,Infield shade,single
50894,680776,"Romero, JoJo",2024-05-18,L,L,FF,93.4,0.79,1.22,0.07,3.12,2.0,hit_into_play,106.3,9.0,81.26,89.49,Standard,single
50897,663457,"Bernardino, Brennan",2024-05-18,L,L,SI,91.4,1.36,0.56,0.19,1.79,8.0,hit_into_play,71.1,-57.0,138.39,179.79,Strategic,field_out
50906,676475,"Crawford, Kutter",2024-05-18,L,R,FF,94.0,-0.52,1.66,0.44,3.34,3.0,hit_into_play,42.7,-9.0,111.21,185.02,Infield shade,single
50907,646240,"King, John",2024-05-18,L,L,SI,92.9,1.39,0.48,0.68,2.08,9.0,hit_into_play,92.9,0.0,110.15,150.39,Infield shade,field_out
50910,677800,"King, John",2024-05-18,L,L,SL,80.5,-0.39,-0.02,0.36,1.98,9.0,hit_into_play,96.1,-12.0,163.36,159.23,Standard,field_out
50915,680776,"Mikolas, Miles",2024-05-18,L,R,FF,94.8,-0.48,1.29,1.13,2.69,12.0,hit_into_play,54.8,63.0,82.68,182.46,Standard,field_out
50917,671056,"Crawford, Kutter",2024-05-18,R,R,FC,87.1,0.37,0.51,-0.4,2.24,4.0,hit_into_play,100.1,-16.0,86.42,151.91,Standard,field_out
50921,646240,"Mikolas, Miles",2024-05-18,L,R,CU,79.5,0.71,-1.12,-0.01,1.0,13.0,hit_into_play,106.6,23.0,145.52,25.46,Infield shade,home_run
50925,676475,"Crawford, Kutter",2024-05-18,L,R,FF,90.6,-0.66,1.64,-0.09,3.46,2.0,hit_into_play,100.6,18.0,184.41,92.49,Infield shade,field_out
50926,663457,"Crawford, Kutter",2024-05-18,L,R,FC,88.8,0.39,0.77,-0.18,3.44,2.0,hit_into_play,86.4,-36.0,136.54,167.17,Infield shade,single
50934,677800,"Mikolas, Miles",2024-05-18,L,R,CU,79.3,0.8,-1.05,-0.47,1.98,7.0,hit_into_play,87.1,35.0,162.91,74.27,Standard,field_out
50939,671056,"Crawford, Kutter",2024-05-18,R,R,FF,91.9,-0.46,1.62,0.68,2.97,3.0,hit_into_play,96.6,24.0,205.71,88.76,Standard,field_out
50945,676475,"Crawford, Kutter",2024-05-18,L,R,FF,93.3,-0.98,1.52,-0.45,2.33,4.0,hit_into_play,73.5,28.0,138.93,99.09,Infield shade,field_out
50948,663457,"Crawford, Kutter",2024-05-18,L,R,FC,87.9,0.19,0.95,0.06,1.99,8.0,hit_into_play,99.2,-5.0,117.76,145.81,Standard,field_out
50965,680776,"Mikolas, Miles",2024-05-18,L,R,SI,93.5,-1.24,0.91,-0.26,1.94,8.0,hit_into_play,95.3,42.0,40.52,97.0,Standard,field_out
50968,621493,"Rodríguez, Yerry",2024-05-18,R,R,FF,96.2,-0.96,1.12,-0.32,1.93,7.0,hit_into_play,104.5,27.0,145.95,35.22,Standard,field_out
50992,621493,"Robertson, David",2024-05-18,R,R,KC,86.7,0.3,-0.76,0.22,2.58,5.0,hit_into_play,57.2,-54.0,122.89,177.82,Standard,field_out
51004,666969,"García, Luis",2024-05-18,R,R,SI,100.3,-1.17,0.92,-0.4,2.78,4.0,hit_into_play,76.2,-20.0,112.79,156.23,Infield shade,field_out
51007,608369,"García, Luis",2024-05-18,L,R,SI,97.9,-1.18,0.83,0.0,2.44,5.0,hit_into_play,107.3,10.0,138.43,99.79,Infield shade,single
51023,666176,"Leclerc, José",2024-05-18,R,R,FF,93.8,-0.37,1.29,0.28,2.18,9.0,hit_into_play,101.7,30.0,177.7,46.91,Standard,home_run
51029,666969,"Sandoval, Patrick",2024-05-18,R,L,CH,84.1,1.17,0.95,-0.49,2.77,4.0,hit_into_play,104.7,26.0,24.02,66.83,Infield shade,home_run
51033,608369,"Sandoval, Patrick",2024-05-18,L,L,SI,93.8,1.08,1.13,0.18,2.39,5.0,hit_into_play,98.7,-9.0,123.7,146.06,Infield shade,field_out
51041,621493,"Ureña, José",2024-05-18,R,R,SL,87.3,-0.22,0.58,1.0,2.33,14.0,hit_into_play,70.5,47.0,180.75,133.26,Standard,double
51044,687263,"Ureña, José",2024-05-18,R,R,SI,96.4,-1.45,0.79,1.2,2.34,14.0,hit_into_play,84.7,-4.0,148.25,153.69,Standard,field_out
51049,666969,"Sandoval, Patrick",2024-05-18,R,L,SI,93.6,1.15,0.98,-0.95,3.01,11.0,hit_into_play,54.3,65.0,166.11,186.33,Standard,field_out
51057,666176,"Ureña, José",2024-05-18,R,R,SL,85.7,-0.41,0.7,0.34,2.59,6.0,hit_into_play,83.6,76.0,96.97,192.84,Standard,field_out
51058,681351,"Ureña, José",2024-05-18,R,R,SI,93.4,-1.14,0.34,-0.2,1.76,8.0,hit_into_play,108.4,3.0,105.7,163.86,Standard,field_out
51060,621493,"Ureña, José",2024-05-18,R,R,FF,94.4,-1.3,1.17,-0.43,3.1,1.0,hit_into_play,105.2,30.0,38.81,59.23,Standard,home_run
51064,608369,"Sandoval, Patrick",2024-05-18,L,L,SI,94.0,0.98,1.16,0.76,3.24,3.0,hit_into_play,79.1,16.0,76.82,112.87,Infield shade,single
51067,687263,"Ureña, José",2024-05-18,R,R,SL,88.9,-0.63,0.69,0.16,2.2,8.0,hit_into_play,104.6,21.0,62.06,81.99,Standard,double
51081,681351,"Ureña, José",2024-05-18,R,R,CH,89.8,-1.26,0.75,-0.21,1.48,8.0,hit_into_play,58.0,-41.0,116.06,162.84,Standard,field_out
51085,608369,"Sandoval, Patrick",2024-05-18,L,L,SL,86.5,-0.84,0.01,-0.54,2.26,4.0,hit_into_play,104.0,22.0,92.05,52.69,Infield shade,field_out
51095,666018,"Mayza, Tim",2024-05-18,L,L,SI,92.1,1.3,0.73,0.16,2.62,5.0,hit_into_play,101.5,2.0,144.3,150.72,Standard,field_out
51097,665489,"Adam, Jason",2024-05-18,R,R,CH,90.2,-1.16,0.23,-0.24,2.45,5.0,hit_into_play,112.4,3.0,104.28,86.44,Infield shade,single
51108,666018,"García, Yimi",2024-05-18,L,R,FF,94.4,-1.08,1.14,-0.89,1.87,13.0,hit_into_play,88.0,44.0,44.6,122.48,Infield shade,field_out
51123,668227,"Gausman, Kevin",2024-05-18,R,R,FF,93.9,-0.54,1.37,-0.38,3.26,1.0,hit_into_play,104.7,4.0,77.59,116.76,Standard,single
51126,650490,"Gausman, Kevin",2024-05-18,R,R,FF,93.1,-0.79,1.35,1.04,2.54,12.0,hit_into_play,96.3,4.0,161.99,138.8,Standard,single
51129,666182,"Eflin, Zach",2024-05-18,R,R,FF,92.2,-0.83,1.1,-0.43,2.81,4.0,hit_into_play,79.8,28.0,182.66,116.07,Standard,field_out
51133,665489,"Eflin, Zach",2024-05-18,R,R,SI,91.3,-1.3,0.05,-0.04,1.88,8.0,hit_into_play,104.4,20.0,208.34,104.91,Standard,single
51134,666182,"Eflin, Zach",2024-05-18,R,R,ST,77.4,1.23,0.52,1.08,2.31,14.0,hit_into_play,82.1,36.0,180.25,104.21,Standard,field_out
51135,665489,"Eflin, Zach",2024-05-18,R,R,SI,89.4,-1.17,0.71,-0.43,1.92,7.0,hit_into_play,113.8,13.0,42.72,85.7,Standard,double
51137,668227,"Gausman, Kevin",2024-05-18,R,R,FF,96.4,-0.64,1.59,0.55,2.79,3.0,hit_into_play,96.3,48.0,206.75,121.62,Standard,field_out
51142,650490,"Gausman, Kevin",2024-05-18,R,R,SL,83.2,0.23,0.52,-0.51,1.93,7.0,hit_into_play,100.9,-7.0,73.95,120.4,Standard,single
51144,666182,"Eflin, Zach",2024-05-18,R,R,SI,90.3,-0.61,0.5,0.14,2.57,5.0,hit_into_play,102.0,-11.0,129.14,184.68,Standard,field_out
51146,665489,"Eflin, Zach",2024-05-18,R,R,SI,91.9,-0.98,0.11,0.45,2.39,6.0,hit_into_play,110.1,-18.0,137.23,136.45,Standard,field_out
51151,668227,"Gausman, Kevin",2024-05-18,R,R,FF,93.6,-0.81,1.48,0.1,3.27,2.0,hit_into_play,91.6,57.0,151.92,122.37,Standard,field_out
51157,650490,"Gausman, Kevin",2024-05-18,R,R,FF,92.6,-1.0,1.26,0.12,2.08,8.0,hit_into_play,109.8,-3.0,126.0,204.5,Standard,single
51162,606466,"Wentz, Joey",2024-05-17,R,L,FF,92.9,0.52,1.6,0.92,2.72,12.0,hit_into_play,110.0,2.0,125.86,80.24,Standard,single
51167,572233,"Vest, Will",2024-05-17,R,R,FF,96.8,-0.71,1.53,-0.92,2.3,13.0,hit_into_play,89.2,27.0,152.69,70.79,Standard,field_out
51169,682998,"Vest, Will",2024-05-17,L,R,CH,89.4,-1.29,0.42,-0.13,1.24,13.0,hit_into_play,94.4,9.0,152.86,139.61,Standard,field_out
51176,606466,"Skubal, Tarik",2024-05-17,R,L,CH,86.3,1.49,0.25,0.59,1.75,9.0,hit_into_play,90.0,19.0,64.58,95.34,Standard,field_out
51185,572233,"Skubal, Tarik",2024-05-17,R,L,KC,79.9,-0.23,-0.59,0.66,2.17,6.0,hit_into_play,80.7,34.0,118.46,81.59,Infield shade,field_out
